price,timestamp,name,color
575000,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
580000,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
584999,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
599999,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
700000,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
750000,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
777776,2021-12-31 11:33:01,TerraGroup Labs keycard (Yellow),gold
3199999,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
3222222,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
3248999,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
3254200,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
3300000,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
3394000,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
3395959,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
3395960,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
3396969,2021-12-31 11:41:25,TerraGroup Labs keycard (Violet),gold
49800,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
50000,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
52000,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
54000,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
55000,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
57995,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
58000,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
58000,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
58420,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
58999,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
59000,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
59999,2021-12-31 11:44:56,TerraGroup Labs weapon testing area key,gold
59999,2021-12-31 12:07:49,TerraGroup Labs manager's office room key,gold
60000,2021-12-31 12:07:49,TerraGroup Labs manager's office room key,gold
